Title,Artist,Album 
思想犯,ヨルシカ,盗作
チノカテ,ヨルシカ,幻燈
老人と海,ヨルシカ,幻燈
第一夜,ヨルシカ,幻燈
藍二乗,ヨルシカ,だから僕は音楽を辞めた
あの夏に咲け,ヨルシカ,夏草が邪魔をする
ブレーメン,ヨルシカ,幻燈
月光浴,ヨルシカ,月光浴
又三郎,ヨルシカ,幻燈
春泥棒,ヨルシカ,創作
憂、燦々,ヨルシカ,憂、燦々
アポリア,ヨルシカ,アポリア
だから僕は音楽を辞めた,ヨルシカ,だから僕は音楽を辞めた
晴る,ヨルシカ,晴る
若者のすべて,suis from Yorushika,若者のすべて
花に亡霊,ヨルシカ,花に亡霊
打上花火,Daoko;米津玄師,打上花火
カトレア,ヨルシカ,夏草が邪魔をする
言って。,ヨルシカ,夏草が邪魔をする
雨晴るる,ヨルシカ,エルマ
ALIVE - LycoReco Version,ClariS,ALIVE (LycoReco Version)
愛撫と殺意の交差点,桑田佳祐,Keisuke Kuwata
遠い街角（The wanderin' street）,桑田佳祐,Keisuke Kuwata
Blue ～こんな夜には踊れない,桑田佳祐,Keisuke Kuwata
いつか何処かで（I FEEL THE ECHO）,桑田佳祐,Keisuke Kuwata
地球儀 - Spinning Globe,米津玄師,地球儀 - Spinning Globe
TWO OF US,久石 譲 アンサンブル,Shoot The Violist[ヴィオリストを撃て]
Innocent,久石讓,Piano Stories Best '88-'08
花の塔,Sayuri,酸欠少女
三原色,YOASOBI,THE BOOK 2
打上花火,Daoko;米津玄師,THANK YOU BLUE
歩く,ヨルシカ,エルマ
へび,ヨルシカ,へび
春泥棒,ヨルシカ,春泥棒
まちがいさがし,米津玄師,STRAY SHEEP
斜陽,ヨルシカ,斜陽
たぶん,YOASOBI,THE BOOK
たぶん,YOASOBI,たぶん
三原色,YOASOBI,三原色
まちがいさがし,菅田 将暉,LOVE
まちがいさがし,菅田 将暉,まちがいさがし
Zenzenzense - Movie Version,RADWIMPS,Your Name.
Itsuka Dokokade (I Feel the Echo) [2022 Remaster],桑田佳祐,Itsumo Dokokade
Hototogisu [2022 Remaster],桑田佳祐,Itsumo Dokokade
Marching Towards Tomorrow [2022 Remaster],桑田佳祐,Itsumo Dokokade
雪の華 (REGGAE DISCO ROCKERS FLOWER'S MIX),中島美嘉;Reggae Disco Rockers,雪の華
まぼろし,福山雅治,伝言
HOLIDAY ～much more than perfect!～,美夢成真,DIAMOND15
僕が死のうと思ったのは,中島美嘉,DEARS
風になる,Tsuji Ayano,恋恋風歌
カントリー・ロード（主題歌）,本名陽子,耳をすませば サウンドトラック
It's Ok If You Forget Me,Astrid S,It's Ok If You Forget Me
馬と鹿,米津玄師,STRAY SHEEP
I still,milet,I still
踊ろうぜ,ヨルシカ,だから僕は音楽を辞めた
記憶の旅人,Mr.Children,記憶の旅人
雨とカプチーノ,ヨルシカ,エルマ
エイミー,ヨルシカ,エルマ
爆弾魔 - Re-Recording,ヨルシカ,盗作
レプリカント,ヨルシカ,盗作
451,ヨルシカ,幻燈
Complicated,Avril Lavigne,Let Go
ここにしか咲かない花,KOBUKURO,NAMELESS　WORLD
蕾(つぼみ),KOBUKURO,5296
桜,KOBUKURO,NAMELESS　WORLD
WINDING ROAD,絢香;KOBUKURO,Seasons Selection ～Spring～
どんなときも。 - 2012 Remaster,槇原敬之,君は誰と幸せなあくびをしますか。 (2012 Remaster)
もう恋なんてしない - 2012 Remaster,槇原敬之,君は僕の宝物 (2012 Remaster)
桜坂,福山雅治,桜坂
家族になろうよ,福山雅治,家族になろうよ／fighting pose
Science (feat. KASANE TETO),MIMI;Kasane Teto,Science (feat. KASANE TETO)
Albireo,Rokudenashi,Albireo
Void,DUSTCELL,Hypnotize
プラネタリウム,大塚 愛,LOVE COOK
ラブ・ストーリーは突然に,小田和正,Anohi Anotoki
修羅,ヨルシカ,修羅
悪ノ召使,mothy,Kagaminext feat. 鏡音リン、鏡音レン ―10th ANNIVERSARY BEST―
風に吹かれて,福原 遥,ハルカカナタヘ
LOVE 2000,八奈見杏菜（CV: 遠野ひかる）,LOVE 2000
Lion,May'n;Megumi Nakajima,MACROSS FRONTIER Opening Theme Lion
Chase the world,May'n,NEW WORLD
灯星,haruka nakamura;suis from Yorushika,灯星
色香水,Yoh kamiyama,色香水
Sincerely,TRUE,TRUE the BEST
チカっとチカ千花っ,藤原千花(CV:小原好美),KAGUYA ULTRA BEST
ロミオとシンデレラ,doriko,ロミオとシンデレラ
新時代 - ウタ from ONE PIECE FILM RED,Ado,新時代 (ウタ from ONE PIECE FILM RED)
DADDY ! DADDY ! DO !,鈴木雅之;鈴木愛理,ALL TIME ROCK 'N' ROLL
Avid,SawanoHiroyuki[nZk];mizuki,Avid
サクラキミワタシ - SAKURA KIMI WATASHI,tuki.,15
地獄恋文 - Inferno Love Letter,tuki.,15
レイニー ブルー,德永英明,永遠の果てに～セルフカヴァー・ベストⅠ～
ハルカスミ,SHIN,ハルカスミ
Sound Of Silence,Nick & Simon,Ein Neuer Tag
糸,菅田 将暉;Huwie Ishizaki,COLLAGE
アンビバレント,Uru,アンビバレント
Sketch,愛繆,Sketch
つづく,緑黄色社会,つづく
ブルーアンバー,back number,ブルーアンバー
恋泥棒。,『ユイカ』,紺色に憧れて
夏実,AKASAKI,AKASAKI - 2024
青と夏,Mrs. GREEN APPLE,Attitude
知らないままで,Rokudenashi,知らないままで
点描の唄,Mrs. GREEN APPLE;井上苑子,青と夏
花束を君に,宇多田光,Fantome
君はロックを聴かない,愛繆,青春のエキサイトメント
レオ,Yuuri,壱
a.m.3:21,yama,a.m.3:21
三文小説,King Gnu,三文小説
炎,LiSA,LANDER
17さいのうた。,『ユイカ』,17さいのうた。
未来のミュージアム,Perfume,LEVEL3
FAKE IT,Perfume,Perfume Global Compilation “LOVE THE WORLD”
Spring of Life,Perfume,Spring of Life
巡ループ,Perfume,ネビュラロマンス 後篇
雨景色,Rokudenashi,日陰
革命道中 - On The Way,AiNA THE END,革命道中 - On The Way
WHEN YOUR OWN INITIALS ARE ENOUGH,Daiki Tsuneta,SUNDANCE FOR BOTTEGA VENETA
I'll be with you,Billyrrom;Nigel Tay,I'll be with you
ソーラ・ウィンド,Perfume,ネビュラロマンス 後篇
