Title,Artist,Album,TrackURI
悲しい気持ち（Just a man in love),桑田佳祐,Keisuke Kuwata,spotify:track:14evwICDoy0d36Nat7hsUT
Ashita Harerukana [2022 Remaster],桑田佳祐,Itsumo Dokokade,spotify:track:0TCgKnbqhh7kmlZGER6PNX
Shiroi Koibitotachi [2022 Remaster],桑田佳祐,Itsumo Dokokade,spotify:track:3lVj9Znb5F2BpHMZmp1Id2
Naminori Johnny [2022 Remaster],桑田佳祐,Itsumo Dokokade,spotify:track:7t4BCTIiOZQ7GnviOb36pZ
Sparkle - movie ver.,RADWIMPS,Your Name. (Deluxe Edition / Original Motion Picture Soundtrack),spotify:track:2FSVHFMIQv2ZtkfO6vzD99
Ponyo on the Cliff by the Sea - Movie Version,久石讓,Ponyo on the Cliff by the Sea Soundtrack,spotify:track:35lqISXEocFzdX7JnuCAB6
おどるポンポコリン,大原櫻子,「映画ちびまる子ちゃん　イタリアから来た少年」ミュージックアルバム,spotify:track:09TnsucrKhbEU4qQI5dkV0
DAN DAN心魅かれてく (ドラゴンボールGT),村上雄太,JAPAN ANIMESONG COLLECTION VOL.1 [アニソン ジャパン],spotify:track:2uJwjoVwffY7eBEOf35y81
めざせポケモンマスター -20th Anniversary-,松本梨香,Mezase Pokemon Master,spotify:track:0tL5rPWiY8RkuMBQ8MMf2O
世界が終わるまでは... (スラムダンク),ジョバンニ,JAPAN ANIMESONG COLLECTION VOL.7 [アニソン・ジャパン],spotify:track:0dpR8tDU4IIXexVsLOVoaM
Always with Me,Yumi Kimura,Spirited Away Soundtrack,spotify:track:0FJL3Dwu8oUpwDb80qNdvP
君をのせて (天空の城ラピュタ),Reiko Nakanishi,JAPAN ANIMESONG COLLECTION VOL.15 [アニソン・ジャパン],spotify:track:7oAe8XFw4skMNaCnJPFR8M
Nandemonaiya - Movie Version,RADWIMPS,Your Name.,spotify:track:7uyGWnfd6fcrFHtWxcM2ke
Hey Let's Go - With Chorus,井上杏美;Suginami Children's Choir,My Neighbor Totoro Soundtrack Collection,spotify:track:2Rodw0X6HPvNs4CvZMACki
残酷な天使のテーゼ,中川翔子,Shokotan Best,spotify:track:1VqWy01efmlFJ21sSRuzzA
Ending Song - The Promise of the World - Merry-Go-Round of Life,倍賞千恵子,Howl's Moving Castle Soundtrack,spotify:track:5AVUsyKKPhYJItIVeEqw2E
ドラえもんのうた (OP),水野愛日,熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ『ドラえもん』,spotify:track:2NasEYCMz45B4see4iDqS0
前前前世 - movie ver.,RADWIMPS,君の名は。,spotify:track:6fmowbDHpvQ1qw7lp22Xhi
空も飛べるはず,SPITZ,CYCLE HIT 1991-1997 Spitz Complete Single Collection,spotify:track:3P2aSkjcbUYbcYr13EFE8n
感電,米津玄師,STRAY SHEEP,spotify:track:6H0PLsSYMzDOqhLgyOlzIj
さくらんぼ,大塚 愛,LOVE PUNCH,spotify:track:5U1xJmlRimUm6DtRd0kM6f
Senpai,乃紫,Senpai,spotify:track:1141uIU9WDqLCjbIbet1eu
深夜高速,Flower Companyz,世田谷夜明け前,spotify:track:60LhFAqVgKazNwYQD1O3kS
三日月サンセット,魚韻,Go To The Future,spotify:track:0XRu9GGSPbgSrZL6yFp2NS
カメレオン,King Gnu,カメレオン,spotify:track:0J0P8iSE6l3pYHbUdNFYdS
LADY,米津玄師,LADY,spotify:track:7w6NWogvAAFdEhD9MA2uvv
Pop Virus,星野源,POP VIRUS,spotify:track:6hDBkm6B8HF9B4oATW28YN
Why,星野源,Why / Life,spotify:track:4rRjyhJb6dysfPM8QYsct0
傘,King Gnu,CEREMONY,spotify:track:4Rbe954EM88dRNqZEws0rT
人生は夢だらけ,椎名林檎,逆輸入 〜航空局〜,spotify:track:0z2xgbxkLvrpzBZDtYIIXS
丸ノ内サディスティック,椎名林檎,無罪モラトリアム,spotify:track:1mWN1USPKg632qQXG9sfDL
Ｗ●ＲＫ,ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ;椎名林檎,Ｗ●ＲＫ,spotify:track:1L50ymp25Vmu7VnPRx5TWf
SHOCK!,Ayase,SHOCK!,spotify:track:2L1HeoX1m3Zv8KPM6HdfZN
ばかまじめ,Creepy Nuts;Ayase;Lilas,アンサンブル・プレイ,spotify:track:7FiTlLKW0Knj8rm7lMa9N7
麻痺,yama,the meaning of life,spotify:track:5v1dhqe9vgvp87eyd27hkb
Haru wo Tsugeru,yama,Haru wo Tsugeru,spotify:track:5QseXDzPvtjdeaWNhYbm0m
色彩,yama,awake＆build,spotify:track:5H37zP5tQCneoCRJEMRcnV
唱,Ado,"Ado ""Ready For My Show Playlist""",spotify:track:7o0TPSw494RG2Q4iWmd1v6
うっせぇわ,Ado,狂言,spotify:track:5QS01sq07pThdktoNUxXRZ
秒針を噛む,ZUTOMAYO,潜潜話,spotify:track:4HgsPAX3MmMgIT60hJ4W4U
あいつら全員同窓会,ZUTOMAYO,沈香学,spotify:track:7rzoBRR4LbJZH5t7Q6qeTn
残機,ZUTOMAYO,沈香学,spotify:track:2fJbss5uUmmBqn7qFkmyWj
風,山猿,あいことば3,spotify:track:19yMWtwmIY2IzThaHG4IEV
KIMINOTAIYOU,山猿,AIKOTOBA7,spotify:track:7bSllZcxp45b3XbeBnYRzO
Dear My Boo,MIREI,Answer,spotify:track:3GP5aLCLIODRjo3563TD3b
^^,MIREI,^^,spotify:track:0zngjITKiudJ1mBYmrOnu8
願い〜あの頃のキミへ〜,MIREI,Answer,spotify:track:1DATsd7yeh8I0WoK1g4Wf2
sayonara,MIREI,PLAYLIST,spotify:track:4vZMuCqX7ceiNtjPKBB66T
愛は薬,wacci,愛は薬,spotify:track:1rf80hAVw6y8rVc1HsOpuv
大丈夫,wacci,日常ドラマチック,spotify:track:5MYjno6goNbqgGHKEYhJ1Y
空に笑えば,wacci,群青リフレイン,spotify:track:5ZcBXJYkcW0vYkohSO5BKn
恋だろ,wacci,suits me! suits you!,spotify:track:2j7GjqDtsKbEhVq0Gw6a5Z
別の人の彼女になったよ,wacci,群青リフレイン,spotify:track:666wLEFj1AtTNBEcErygLz
何日君再來,鄧麗君,熱唱！テレサ・テン『東京夜景』,spotify:track:4AqOztecJN6RAchsAU1ee6
キャラクター,緑黄色社会,Actor,spotify:track:0O4YelF6Zneq7sk1Ye73N2
Shout Baby,緑黄色社会,Shout Baby,spotify:track:5K1m4aaPCxwnm9SKlWW1vh
Mela!,緑黄色社会,Mela!,spotify:track:6IO5nn84TKArsi3cjpIqaD
花になって - Be a flower,緑黄色社会,花になって - Be a flower,spotify:track:2EmkTBTh964LQen4Vz0svg
青春コンプレックス,結束バンド,青春コンプレックス,spotify:track:0jpP8AlQLVtaMwA3vQYpYB
KANATA HALUKA,RADWIMPS,Suzume (Motion Picture Soundtrack),spotify:track:4O6htogl2A9ycNLwc9dVK1
色彩,yama,色彩,spotify:track:1uveEvgKX4irLcp1BUTIFD
Comedy,星野源,Comedy,spotify:track:5SuOikwiRyPMVoIQDJUgSV
SPECIALZ,King Gnu,THE GREATEST UNKNOWN,spotify:track:5oQpH1uuZte4axR411rIlN
"Take Me Home, Country Roads (Theme Song)",Yuji Nomi,Whisper of the Heart Soundtrack,spotify:track:70Wm0tbbdJ7D97957x4rkm
にゃん酷なにゃんこのテーゼ,高橋洋子,にゃん酷なにゃんこのテーゼ,spotify:track:4uhnTaYyxbLqgesIt8QFkH
残酷な天使のテーゼ,高橋洋子,残酷な天使のテーゼ/FLY ME TO THE MOON,spotify:track:3dDZFJSvdT9N2nNAdsE9j2
Suzume,RADWIMPS;Toaka,Suzume (Motion Picture Soundtrack),spotify:track:1n1y2kFPISpF9WGD3JaFo5
Zenzenzense - movie ver.,RADWIMPS,Your Name.,spotify:track:2DLrgv7HhJanCuD8L9uJLR
シャッター,Yuuri,壱,spotify:track:19mjCzLuMHZ0Tyn3eI85bo
常緑,Chippoke Ohashi,you,spotify:track:6qn31XzTa6YKXs5FZpAPgP
GO!!!,FLOW,GAME,spotify:track:30WNOfFRiqgebO4eRkCii8
Namaenonaiuta,山猿,Aikotoba8,spotify:track:7EJLVSbujtH2itLe9QXm2I
魔法の絨毯,川崎鷹也,I believe in you,spotify:track:3PK5ERLCyMuQ5Cb89GbZVL
